상품ID,카테고리명,상품명,가격,Image URL,부가_설명
1052537,중문,[특가~9/29]라이트3연동 중문,781560,https://image.hanssem.com/hsimg/gds/1050/1052/1052537_A1.jpg?v=20250912153114,"라이트(Wright) 3연동 중문  리얼 디바이딩과 다양한 믹스 매치 유리 옵션으로 유러피안 스타일링 연출이 가능한 만족스러운 가격대의 한샘 중문입니다.  미니멀한 룩을 위해 더욱 가늘어진 18mm 프레임 문을 닫았을때도 현관이 시원해 보이는 슬림 레이아웃 디자인으로 미니멀한 공간을 완성합니다.  공간을 넓어보이게 연출하는 상부의 슬림 마감 더 높아진 문틀 제작높이로 상부 마감 공간을 최소화하여 쭉 뻗은 도어의 레이아웃이 우리집을 더 개방감 있는 공간으로 연출합니다.  인테리어는 조화가 핵심, 톤온톤 유리 옵션과 리얼 디바이딩 세심하고 다양한 유리 옵션과 리얼 디바이딩을 적용해 유럽의 분위기를 연출하는 믹스 매치 유리로 우리집 인테리어만의 차별화를 만들 수 있습니다.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
775684,중문,[특가~9/29]유닛슬라이딩 중문,879060,https://image.hanssem.com/hsimg/gds/1050/775/775684_A1.jpg?v=20250905095659,"유닛슬라이딩  남다른 기술력이 주는 부드러운 움직임. 다양한 디자인 옵션과 맞춤설계가 가능한 플랜으로 우리 집 공간을 완성해보세요.  다양한 유닛으로 맞춤 설계 가능한 중문 간살부터 라운드형 디자인까지 13가지의 디바이딩과 8가지의 유리 옵션 중 맞춤 설계할 수 있습니다.  슬림한 프레임 디자인 16mm 슬림한 프레임과 빗각 디자인으로 유리 면적이 넓어져 시원한 개방감을 선사합니다.  고급스러운 손잡이 고급스러운 일체형 손잡이는 중문을 여닫을 때 안정적인 개폐감을 선사합니다.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
1064344,중문,팰리스 자동 슬라이딩 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064344_A1.jpg?v=20250424145837,"팰리스 자동 슬라이딩  전자동 시스템에 세이프 클로징이 더해진 원슬라이딩 자동 중문으로 스마트한 우리 집을 만들어보세요.  저소음 하드웨어 실내 전용 하드웨어를 개발하여 작동 시 소음을 줄이고, 부드럽게 열립니다.  스마트한 자동3연동 중문 자동,수동, 홀드 기능이 모두 다 있는 중문으로 몸이 가볍게 닿기만 해도 자동으로 열려 찧임 방지도 가능합니다.  우리집에 맞게 고르는 자동센서 대형,소형, 천장부착형, 손잡이 매립형 센서 등 우리 집에 맞게 센서를 고르실 수 있습니다."
1064624,중문,슬림 3연동,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064624_A1.jpg?v=20250813160717,슬림 3연동  안정감 있는 60mm 프레임으로 코지한 분위기와 개방감을 동시에 느낄 수 있는 중문입니다.  60mm 슬림 프레임 안정감있는 60mm 프레임으로 보다 넓어보이는 현관을 연출해보세요.  다양한 컬러 옵션 20종의 컬러옵션으로 우리집 맞춤 디자인 설계가 가능합니다.
1064647,도어,ABS도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064647_A1.jpg?v=20250814171032,"ABS도어  트렌디한 색감과 감도있는 디자인의 한샘 ABS도어 우리집 인테리어 스타일에 맞추어 선택할 수 있는 홈도어 시리즈입니다.  다양한 컬러와 디자인의 홈도어 한샘 키친, 수납과 가장 잘 어울리는 36종의 컬러와 11종의 디자인 도어로 통일감 있는 리모델링 스타일을 제안합니다.  트리플 허니콤보드 도어 힘을 가장 균형 있게 배분하는 안정적 구조 형태의 허니콤 보드를 3단으로 적용해 내구성과 차음 성능을 높인 고품질 도어입니다. * 25년 신제품 컬러의 경우 강화 단층 허니콤 적용  EO 몰딩 마감재까지 엄선된 MDF 사용으로 안전한 자재를 제안합니다."
1064336,중문,라운드 프리미엄 스윙 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064336_A1.jpg?v=20240911101301,라운드 프리미엄 스윙  고급 레이저 컷팅 기술로 제작된 라운드 디자인 중문입니다. 라운드 디자인이 공간에 포인트를 더해주면서 모던한 인테리어를 완성합니다.  라운드 디자인 고급 레이저 컷팅 기술이 완성한 균형감있고 우아한 디자인 입니다.  소프트 클로징 구간별 도어 개폐 속도 조절이 가능하고 댐핑 기능으로 부드럽게 닫힙니다.  최대 140도 각도 조절 최대 140도 까지 문을 열 수 있어 큰 물건을 옮길 때에도 용이합니다.
1064631,중문,여닫이 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064631_A1.jpg?v=20250813160910,"여닫이 중문  다양한 플랜으로 인테리어에 포인트를 더해줄 랩핑 타입의 중문입니다. 나만의 조합으로 더욱 특별한 현관을 만들어 보세요.  다양한 플랜 원도어, 비대칭형, 정대칭형 중 내 취향에 맞게 선택해보세요.  플로어 힌지 견고한 프리미엄 힌지를 적용하여 오래도록 사용해도 튼튼한 중문을 완성합니다.  고급 하드웨어 바람막이 몰딩, 상부 마그네틱 클로저 등 고급 하드웨어를 적용해 내구성을 한 층 더 업그레이드 했습니다."
997380,중문,[특가~9/29]밀란 여닫이 중문,839280,https://image.hanssem.com/hsimg/gds/1050/997/997380_A1.jpg?v=20250905095335,"여닫이 중문  다양한 플랜으로 인테리어에 포인트를 더해줄 랩핑 타입의 중문입니다. 나만의 조합으로 더욱 특별한 현관을 만들어 보세요.  다양한 플랜 원도어, 비대칭형, 정대칭형 중 내 취향에 맞게 선택해보세요.  플로어 힌지 견고한 프리미엄 힌지를 적용하여 오래도록 사용해도 튼튼한 중문을 완성합니다.  고급 하드웨어 바람막이 몰딩, 상부 마그네틱 클로저 등 고급 하드웨어를 적용해 내구성을 한 층 더 업그레이드 했습니다.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
1064646,도어,글라스도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064646_A1.jpg?v=20240912140616,글라스도어  유니크한 유리 디자인이 인상적인 혼도어 시리즈입니다.  심플&모던 디자인 8종의 유리 옵션으로 한 끗 다른 우리 집 분위기를 만들어 보세요.  트리플 허니콤보드 도어 힘을 가장 균형 있게 배분하는 안정적 구조 형태의 허니콤 보드를 3단으로 적용해 내구성과 차음 성능을 높인 고품질 도어입니다.  친환경 EO 몰딩 마감재까지 엄선된 MDF 사용으로 안전한 자재를 제안합니다.
1064625,중문,슈퍼슬림 3연동,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064625_A1.jpg?v=20250813160557,슈퍼슬림 3연동  엣지 있는 골드 포인트로 심플한 공간에 특별함을 더하는 중문입니다.  골드 포인트 디자인 심플한 디자인에 골드 포인트를 더해 더욱 고급스러운 디자인을 완성합니다.  슬림 프레임 22mm 두께의 슬림한 프레임으로 공간을 더 넓어보이게 합니다.  디바이딩 도어 디자인 오픈형과 고시형의 장점을 모두 살린 디바이딩 도어 디자인으로 개방감과 프라이버시 보호를 동시에 누려보세요.
1064626,중문,고급형 3연동,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064626_A1.jpg?v=20250813160215,고급형 3연동  중후하고 고급스러운 디자인에 기능성과 성능까지 모두 잡은 한샘 스테디셀러 중문입니다.  80mm 프레임 80mm 프레임 두께로 고급스럽고 안정감있는 현관 분의기를 연출합니다.  파티션 ㄱ자 플랜으로 목공사 없이 깔끔한 공간분리가 가능합니다.
1064337,중문,프리미엄 슬라이딩 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064337_A1.jpg?v=20240911101546,"프리미엄 슬라이딩  현관, 다이닝, 드레스룸, 침실 중문 하나로 달라지는 우리집 분위기 한샘 프리미엄 슬라이딩으로 완성해보세요.  다양한 공간플랜 원도어부터 양개형 도어까지 공간에 맞는 다양한 슬라이딩 플랜을 제안합니다.  매립형 하부레일 매립형 레일을 적용해 발걸림이 없고, 유지관리가 용이합니다.  5T 강화유리 유리 면적이 넓어진 만큼 전체 5T 강화유리를 적용해 더욱 안전하게 사용하실 수 있습니다."
1064463,도어,유로3 도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064463_A1.jpg?v=20240912141939,"유로3 도어  기존 ABS도어 대비 더욱 묵직해진 개폐감. 차별화 된 친환경 고급 표면 마감재로 한 끗 다른 우리집 인테리어를 완성해보세요.  리얼한 패턴과 질감 친환경 소재로 리얼하게 표현해낸 리얼우드, 브러쉬, 매트 질감. 유로3 도어로 차별화된 홈도어를 경험하세요.  트리플 허니콤보드 도어 3단 허니콤 보드에 심재 2중 보강으로 내구성과 차음성을 강화했습니다. 묵직해진 도어로 고급스러운 개폐감을 느껴보세요.  프리미엄 ACC 라인업 다양한 도어 핸들, 경첩 라인이 있어 프리미엄 도어에 함께 매칭할 수 있습니다."
1064338,중문,사일러 자동3연동 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064338_A1.jpg?v=20250418181156,"사일러 자동 3연동  33~55 데시벨의 저소음 하드웨어를 탑재한 자동문으로 소음이 적고, 끼임 방지 기능을 넣어 더욱 안전하게 사용할 수 있습니다.  저소음 하드웨어 저소음 하드웨어를 적용하여 부드럽고 조용하게 작동합니다.  끼임 방지 안전 기능 자동 멈춤, 홀드, 수동 개폐 기능이 모두 들어간 스마트한 자동 3연동 중문입니다.  슬림 디자인과 핸들리스 디자인 슬림한 프레임으로 공간을 더 넓게, 무선 스위치로 더욱 깔끔하고 모던한 인테리어를 완성하세요."
1064628,중문,와이즈 프리미엄 3연동,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064628_A1.jpg?v=20240911100612,"와이즈 프리미엄 3연동  슬라이딩 도어 보다 실용적이면서 기존 3연동 중문보다 압도적인 크기를 자랑하는 광폭 사이즈 프리미엄 3연동 중문입니다.  공간에 따른 플랜 넓은 공간엔 양쪽으로 여닫을 수 있는 양개형을, 좁은 공간엔 한쪽으로 여닫을 수 있는 슬라이딩형을 선택해보세요.  슬림 프레임 22mm 두께의 슬림한 프레임에 와이드 사이즈로 공간을 더 넓게 활용할 수 있습니다.  인테리어 스타일에 맞춘 3가지 프레임 컬러 공간에 따라 베이지, 블랙, 화이트로 컬러를 선택할 수 있습니다."
1064478,도어,모던클래식 도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064478_A1.jpg?v=20240912142627,"모던클래식 도어  프렌치 스타일의 웨인스콧팅 디자인이 돋보이는 도어로 표면 코팅 처리로 생활 스크래치에 강해 오랫동안 고급스럽게 사용하실 수 있습니다.  웨인스콧팅 디자인 풍성한 볼륨감이 살아있는 웨인스콧팅 디자인으로 우아하면서도 시크한 프렌치 감성을 느껴보세요.  트리플 허니콤보드 도어 3단 허니콤 보드에 심재 2중 보강으로 내구성과 차음성을 강화했습니다. 묵직해진 도어로 고급스러운 개폐감을 느껴보세요.  프리미엄 ACC 라인업 다양한 도어 핸들, 경첩 라인이 있어 프리미엄 도어에 함께 매칭할 수 있습니다."
1064481,도어,라인문틀,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064481_A1.jpg?v=20250814170740,"라인문틀 1,2  문선, 인방 없이 얇은 몰딩 마감으로 벽면과 자연스럽게 이어져 더욱 깔끔한 미니멀 인테리어를 완성할 수 있습니다.  한샘 키친, 수납 맞춤 홈도어 한샘 키친, 수납과 컬러와 텍스처를 맞춰 웜코튼, 무드베이지, 매그놀리아 컨셉의 통일감있는 리모델링 스타일을 제안합니다.  라인문틀 전용 마감몰딩 벽면 마감재에 따라 마감 몰딩 선택이 가능합니다 라인문틀1 2종 (10, 15mm)
라인문틀2 3종 (10, 15, 20mm) 현장 래핑 없이 간편하게 시공해보세요.  우수한 내구성 PVC발포문틀 위 몰딩으로 마감하여 목공으로 제작한 목문틀 대비 우수한 내구성을 자랑합니다."
1064634,중문,프리미엄 스윙,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064634_A1.jpg?v=20240911101139,"프리미엄 스윙  25mm의 슬림한 프레임에 소프트 클로징 기능이 더해진 한샘 프리미엄 스윙 도장중문 입니다.  소프트 클로징 구간별 도어 개폐 속도 조절이 가능하고 댐핑 기능으로 부드럽게 닫힙니다.  최대 140도 각도 조절 최대 140도 까지 문을 열 수 있어 큰 물건을 옮길 때에도 용이합니다.  5T 강화 유리 넓은 유리 면적 깨질 염려없이, 5T(5mm) 강화 유리를 적용해 안전하게 사용하실 수 있습니다."
