상품ID,카테고리명,상품명,가격,Image URL
883382,주방수납장,모디 주방수납 카페장 100cm 수납형 12종 택1,426580,https://image.hanssem.com/hsimg/gds/1050/883/883382_A1.jpg?v=20250908100852
923645,식탁,미나 스틸 사각 2인 800 식탁,219000,https://image.hanssem.com/hsimg/gds/1050/923/923645_A1.jpg?v=20250911100014
705827,식탁,도노 세라믹 4인 식탁(의자미포함),509000,https://image.hanssem.com/hsimg/gds/1050/705/705827_A1.jpg?v=20250908100847
662535,식탁의자,1+1 아망 체어(3종 택1),109000,https://image.hanssem.com/hsimg/gds/550/662/662535_A1.jpg?v=20250915132052
823612,식탁,"포레 컴포트 4인 라운지세트 (벤치1, 코너벤치1, PP의자2 포함)",1034000,https://image.hanssem.com/hsimg/gds/1050/823/823612_A1.jpg?v=20250911100014
993171,식탁,유로 503 디아고 세라믹 4인 스틸식탁 1350(의자 미포함),849000,https://image.hanssem.com/hsimg/gds/1050/993/993171_A1.jpg?v=20250901142843
948306,식탁,미나 스테인리스 타원형 6인 1800 식탁,615000,https://image.hanssem.com/hsimg/gds/1050/948/948306_A1.jpg?v=20250908100849
909706,식탁,도노 새틴글래스 엣지 4인 식탁(의자미포함),499000,https://image.hanssem.com/hsimg/gds/550/909/909706_A1.jpg?v=20250908100848
948307,식탁,미나 스테인리스 분절사각 6인 1800 식탁,645000,https://image.hanssem.com/hsimg/gds/1050/948/948307_A1.jpg?v=20250908100849
1057900,식탁,우디 슬릿 6인 2000식탁(의자 미포함),1160000,https://image.hanssem.com/hsimg/gds/1050/1057/1057900_A1.jpg?v=20240424190648
1054788,식탁,도노 내추럴 세라믹 와이드4인 식탁세트 (컴피의자4 포함),937000,https://image.hanssem.com/hsimg/gds/1050/1054/1054788_A1.jpg?v=20250911100014
819873,식탁의자,포레 컴포트 3인 소파벤치세트 (식탁미포함),765000,https://image.hanssem.com/hsimg/gds/1050/819/819873_A1.jpg?v=20250908100849
948304,식탁,미나 스테인리스 타원형 6인 1600 식탁,595000,https://image.hanssem.com/hsimg/gds/1050/948/948304_A1.jpg?v=20250908100849
1024468,식탁의자,투티 스툴의자(2종/택1),69000,https://image.hanssem.com/hsimg/gds/1050/1024/1024468_A1.jpg?v=20250917141811
1103568,식탁의자,라이트 체어 패드형 2P (2종/택1),89900,https://image.hanssem.com/hsimg/gds/1050/1103/1103568_A1.jpg?v=20250915132054
993746,식탁,바흐 802 리니아 세라믹 식탁 1600,1961000,https://image.hanssem.com/hsimg/gds/1050/993/993746_A1.jpg?v=20250623132447
948301,식탁,미나 스테인리스 사각 4인 1200 식탁,550000,https://image.hanssem.com/hsimg/gds/1050/948/948301_A1.jpg?v=20250908100849
1001675,식탁,도노 내추럴 세라믹 6인 식탁세트(컴피 의자4 포함),957000,https://image.hanssem.com/hsimg/gds/1050/1001/1001675_A1.jpg?v=20250908100847
993476,식탁의자,밴드식탁의자,115000,https://image.hanssem.com/hsimg/gds/1050/993/993476_A1.jpg?v=20250314101350
993553,식탁,바흐 801 월넛 라이브엣지 식탁1600,2073000,https://image.hanssem.com/hsimg/gds/1050/993/993553_A1.jpg?v=20240823111252
819868,식탁,"포레 컴포트 4인 베이직세트 (벤치1, 원목의자2 포함)",739000,https://image.hanssem.com/hsimg/gds/1050/819/819868_A1.jpg?v=20250908100848
865078,식탁,도노 세라믹 어반 와이드4인 식탁(의자미포함),828000,https://image.hanssem.com/hsimg/gds/1050/865/865078_A1.jpg?v=20250627093613
891275,"식탁, 식탁의자",(new 시즌컬러)  포레 컴포트 3인 소파벤치세트 (식탁미포함),765000,https://image.hanssem.com/hsimg/gds/1050/891/891275_A1.jpg?v=20250908100849
1050986,식탁,"도노 어반 리빙다이닝 4인 라운지세트 (130벤치, 코너벤치 포함)",2195000,https://image.hanssem.com/hsimg/gds/1050/1050/1050986_A1.jpg?v=20250626173459
185742,식탁,머그 아일랜드 식탁(의자 미포함),229000,https://image.hanssem.com/hsimg/gds/1050/185/185742_A1.jpg?v=20250908100853
823613,식탁,"[특가~9/29]포레 컴포트 4인 베이직세트 (벤치1, PP의자2 포함)",648000,https://image.hanssem.com/hsimg/gds/1050/823/823613_A1.jpg?v=20250908100848
