상품ID,카테고리명,상품명,가격,Image URL,부가_설명
1064332,기능창,터닝도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064332_A1.jpg?v=20250818142331,"터닝 도어  다용도실과 실내공간 사이에 설치하여 냉기를 막아주는 것은 물론 방음, 기밀 성능까지 향상시킨 고효율 기능성 도어입니다.  우수한 단열 성능 150mm 프레임 두께와 26mm 광폭유리를 적용하여 바깥공간의 냉기를 막아줄 수 있는 고단열 터닝 도어입니다.  디테일의 차이, 고급스럽고 깔끔한 디자인 실리콘을 사용하지 않은 가스켓타입으로 깔끔하고 고급스러운 마감을 자랑합니다.  오래도록 안전하게 사용하는 터닝도어 5Point를 잡아주어 밀폐력을 높힌 전용 잠금핸들과 잦은 개폐에도 문제없는 고강도 힌지를 적용했습니다."
984239,기능창,폴딩 도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/984/984239_A1.jpg?v=20241008153002,폴딩도어  공간을 분할하거나 확장하여 유연하게 활용할 수 있는 폴딩 도어로 카페같은 거실을 연출해보세요.  더 활짝 열리도록 일반 슬라이딩 분합창과 달리 90% 이상 열리는 도어로 넓은 개방감을 제공합니다.  좁은 공간을 더 넓어보이게 좁은 거실이 답답하다면 폴딩도어로 공간을 확장해보세요.  모던 디자인 모던한 디자인과 다양한 오픈 방식으로 어느 공간이든 원하는 인테리어를 만드실 수 있습니다.
1064334,기능창,하이가드,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064334_A1.jpg?v=20241008152546,"하이가드  방충망 하나로 방충,방범,추락방지 기능까지. 한샘 하이가드로 가족의 건강과 안전까지 지켜주세요.  더욱 견고하게 견딜 수 있도록 코너클램핑 적용으로 단단하게 구조를 잡아주고, 강한 외부 충격과 풍압을 견딜 수 있습니다.  눌러도 안전할 수 있도록 내구성이 탁월한 스텐레스 스크린과 알루미늄 프레임을 결착하는 방식으로 국부하중 시험을 통과한 제품입니다.  안전과 디자인을 동시에 3중 자동잠금 키즈락으로 아이가 있어도 안전하고, 심플한 디자인으로 미니멀 인테리어까지 연출 가능합니다."
984238,발코니창,밀란 발코니창,견적상담,https://image.hanssem.com/hsimg/gds/1050/984/984238_A1.jpg?v=20250922100850,"밀란 발코니창  감각적인 디자인과 단열, 기밀, 방음 성능이 뛰어나며, 고효율유리를 통해 우수한 성능을 제공합니다. 또한, 친환경자재로 제작되어 건강한 실내 환경을 조성합니다.  에너지세이빙 창호 한샘만의 품질기준으로 만든 에너지세이빙 창호로 엄격하게 선정되고 관리되는 원부자재와 고효율 맥스로이 유리 적용으로 에너지 효율을 극대화합니다.  가스켓 타입 / 레버핸들 실리콘을 사용하지 않은 가스켓 타입으로 청소가 쉬워지고, 레버 핸들을 적용하여 손쉽게 여닫을 수 있습니다. * 핸들이미지는 연출된 사진으로 운영안과 다를 수 있습니다.  기능성 마감 부자재 높은 기능성을 자랑하는 마감 부자재들은 공간의 완성 뿐 아니라 생활의 편리함과 안정성까지 제공합니다. * 이 이미지는 연출된 것으로 실제와 다를 수 있습니다."
1084826,발코니창,뷰프레임,견적상담,https://image.hanssem.com/hsimg/gds/1050/1084/1084826_A1.jpg?v=20250818142738,N/A
