상품ID,카테고리명,상품명,가격,Image URL,부가_설명
1064589,판넬바스,밀란 5 뉴트럴 브라운,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064589_A1.jpg?v=20240724081423,"밀란5 뉴트럴브라운  진정한 휴식으로서의 공간, 우리 집 욕실. 유행을 타지 않는 컬러와 디자인으로 편안한 욕실 공간을 연출하세요.  뉴트럴 브라운 거울 & 선반 가로, 세로형 설치가 가능한 뉴트럴 브라운 거울은 욕실 전면을 풍성하게 채워줍니다. 인조 대리석 선반, 거울, 상부장의 비대칭 조합 또한 세련된 공간을 만듭니다.  뉴트럴 브라운 상부장 최소한의 구획으로 다양한 욕실용품을 실속 있게 보관하세요. 부드러운 무광 실버 가이드바는 물건의 낙하를 방지해 주며 화장품 등을 편리하게 수납할 수 있습니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1069025,판넬바스,솔트화이트,견적상담,https://image.hanssem.com/hsimg/gds/1050/1069/1069025_A1.jpg?v=20240724133602,"솔트화이트 매끄럽게 떨어지는 SEAMLESS 마감재와 화사하고 깔끔한 화이트 톤 스타일링으로 트렌드와 가격 경쟁력을 동시에 챙긴 20~30평대의 욕실에서 가장 선호하는 플랜입니다.  20~30평대의 욕실에서 가장 선호하는
화이트톤 스타일링 & 매트한 마감 심플한 화이트톤 타일과 매트한 질감의 마감재로
경쾌하고도 깔끔한 스타일링을 완성해
20~30평대의 욕실에 가장 적합한 플랜을 제안합니다.  트렌디한 감성을 담은 요즘 욕실 인테리어 업계에서 가장 주목 받는 패턴의 마감재와 고급스러운 분위기를 연출하는 조명거울, 세련된 니켈수전으로 대세감을 살리고, 리얼 스톤 느낌의 엔지니어드 스톤을 사용해 완성도 높은 욕실을 완성합니다.  우리집 욕실에 꼭 맞춘 욕실장 라인업 수납량에 따라 사이즈를 선택할 수 있는 상부장과 슬림한 두께의 볼 세면기와 결합된 하부장으로 우리집 욕실에 꼭 맞춘 간결한 수납을 완성합니다."
785809,판넬바스,[550만원딜 특가]유로터치&리버화이트 부엌+바스 2PKG,5505000,https://image.hanssem.com/hsimg/gds/1050/785/785809_A1.jpg?v=20250919155959,"키친,바스 2PKG  한샘이 제안하는 패키지 솔루션으로 우리집에서 꼭 필요한 공간만 바꾸고 확 달라진 우리집을 경험하세요.  유로300 터치 유화같은 붓터치 질감을 구현한 스타일. 깊은 텍스처로 공간의 분위기를 한 층 더해줍니다.  유화 붓터치 같은 표면 유화와 같은 붓터치 표면의 질감이 감각적으로 표현된 도어  손 끝으로 느껴지는 텍스처 지문 자국을 최소화하는 붓터치 질감의 엠보 텍스처  마일드한 모노톤 컬러 3종 따뜻한 화이트 컬러와 미드그레이 컬러, 그리고 차콜빛의 블랙 컬러까지  밀란3 리버화이트 오랜 시간이 지나도 지루하지 않고 유행에 민감하지 않은 자연스러운 욕실 공간을 만나보세요.  컴팩트한 원도어 슬라이딩장 수납 문제를 깔끔하게 해결해 주는 원도어 슬라이딩장. 슬라이딩장은 여닫이형에 비해 아이들도 쉽게 사용할 수 있습니다. 도어 개폐 시 차지하는 공간도 적어 소형 욕실 공간에 실용적입니다.  오랫동안 사랑받을 리얼 스톤 디자인 마감재 끊임없이 이어지는 자연스러운 마블 패턴이 욕실 공간을 더욱 시원하고 넓어 보이게 연출해 줍니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  유해물질 걱정 없는 친환경 자재 E0 시공 매일 쓰는 우리 집 가구, 자재등급부터 꼭 따져보세요. 한샘은 전 제품 유해물질 없는 친환경자재 E0만 사용합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
1018695,판넬바스,[특가~9/29]뉴트럴브라운 실속패키지 (1+1 욕실패키지),3109260,https://image.hanssem.com/hsimg/gds/1050/1018/1018695_A1.jpg?v=20250811102753,"밀란5 뉴트럴브라운 실속패키지 (욕실 패키지 + 욕실 액세서리 3종 세트)  진정한 휴식으로서의 공간, 우리 집 욕실. 유행을 타지 않는 컬러와 디자인으로 편안한 욕실 공간을 연출하세요.  뉴트럴 브라운 상부장 + 거울 가로, 세로형 설치가 가능한 뉴트럴 브라운 거울은 욕실 전면을 풍성하게 채워줍니다. 인조 대리석 선반, 거울, 상부장의 비대칭 조합 또한 세련된 공간을 만듭니다. *인조대리석 선반은 상담 후 추가 결제 가능합니다.  뉴트럴 브라운 상부장 최소한의 구획으로 다양한 욕실용품을 실속 있게 보관하세요. 부드러운 무광 실버 가이드바는 물건의 낙하를 방지해 주며 화장품 등을 편리하게 수납할 수 있습니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
1064599,판넬바스,밀란 3 리버 화이트,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064599_A1.jpg?v=20240724081423,"밀란3 리버화이트  오랜 시간이 지나도 지루하지 않고 
유행에 민감하지 않은 자연스러운
욕실 공간을 만나보세요.  컴팩트한 원도어 슬라이딩장 수납 문제를 깔끔하게 해결해 주는 원도어 슬라이딩장. 슬라이딩장은 여닫이형에 비해 아이들도 쉽게 사용할 수 있습니다. 도어 개폐 시 차지하는 공간도 적어 소형 욕실 공간에 실용적입니다.  오랫동안 사랑받을 리얼 스톤 디자인 마감재 끊임없이 이어지는 자연스러운 마블 패턴이 욕실 공간을 더욱 시원하고 넓어 보이게 연출해 줍니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1064598,판넬바스,밀란 3 오슬로,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064598_A1.jpg?v=20240724081423,"밀란3 오슬로  잔잔한 스톤 패턴을 가진 판넬과
세련된 디자인의 거울, 수납장을 매치한
내추럴 스타일의 욕실입니다.  세련된 욕실 포인트의 아치 거울 우아하고 세련된 곡선 형태의 아치 거울입니다. 가로, 세로 원하는 대로 돌려서 원하는 모양으로 시공 가능합니다. 하부에 선반을 추가해 수납 기능을 강화할 수 있습니다.  미니멀한 원도어 상부장 원도어 상부장은 차분하고 부드러운 분위기를 주는 오크 패턴을 적용하여 세련된 욕실을 연출할 수 있습니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1018694,판넬바스,[특가~9/29]피에트라 실속패키지 (1+1 욕실패키지),2887500,https://image.hanssem.com/hsimg/gds/1050/1018/1018694_A1.jpg?v=20250811102559,"밀란3 피에트라 실속패키지 (욕실 패키지 + 욕실 액세서리 3종 세트)  웅장한 대리석 패턴을 합리적 가격에 담은 욕실입니다. 무게감 있는 그레이 욕실에 미니멀한 디자인의 블랙 포인트를 준 트렌디한 공간입니다.  스타일을 더해주는 플랩장 블랙 전면의 막힘없는 거울 도어는 좁은 공간을 더욱 넓어 보이게 합니다. 내부의 넉넉한 수납 공간은 다양한 욕실용품을 수납하기에 충분하며 하부의 선반은 자주 사용하는 물건을 편리하게 수납할 수 있습니다.  최신 트렌드를 반영한 신규 휴판넬 고가 인테리어 마감재에 속하는 대형 대리석 타일의 패턴을 판넬에 적용한 피에트라 판넬입니다. 판넬과 컬러에서 오는 분위기가 욕실에 품격을 더해줍니다. *위 이미지는 연출된 이미지로, 아래 세부 구성 품목을 확인 해주세요.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 친환경 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
1001354,타일바스,유로5 딥네이처,견적상담,https://image.hanssem.com/hsimg/gds/1050/1001/1001354_A1.jpg?v=20240724080842,"유로5 딥네이처  간결한 디자인의 아이템들과 따뜻한 톤온톤 컬러감으로 미니멀하고 고급스러운 욕실 분위기를 연출할 수 있습니다. 폭넓은 수납 시스템과 옵션 아이템으로 꼭 맞는 욕실을 구성하세요.  다양한 구성의 프리미엄 수납장과 슬림 간접 조명 다양한 규격과 개폐방식의 상부장으로 기본 사이즈부터 대형 사이즈의 욕실까지. 슬림한 1cm 두께의 LED 간접 조명으로 분위기 있게 연출해 보세요.  더욱 넉넉한 수납 법, 딥 네이처 하부장 딥 네이처 하부장은 서랍형 수납공간으로 실용적으로 사용할 수 있고 루버 디자인의 도어와 슬림한 대리석 상판으로 마감되어 공간을 더욱 고급스럽게 연출할 수 있습니다.  맞춤 욕조 파티션 맞춤 파티션은 천고가 더 높아 보일 뿐만 아니라 깔끔하고 고급스러운 욕실 설계가 가능합니다."
1001349,타일바스,밀란7 핏미,견적상담,https://image.hanssem.com/hsimg/gds/1050/1001/1001349_A1.jpg?v=20240724080842,"밀란7 핏 미  인테리어 스타일과 개인 취향에 맞게 아치형 거울, 팬던트 등의 아이템으로 우리 집만의 트렌디한 욕실 공간을 연출할 수 있습니다.  욕실에 트렌디함을 더해 주는 아치형 조명 거울 & 펜던트 LED 간접 조명이 매립된 아치형 거울이 공간을 트렌디하게 연출해 줍니다. 별도의 스위치 없이 원터치만으로 조정이 가능하며 디밍 기능이 있어 원하는 밝기 조절이 간편합니다.  욕실 무드 연출이 가능한 조명 선반 세면 공간 선반에 자주 사용하는 용품들을 간편하게 놓고 사용하세요. 선반 하부에는 LED 조명이 매립되어 있어 은은하게 공간 무드를 완성해 줍니다. 3가지 사이즈로 욕실 사이즈에 맞게 선택할 수 있습니다.  통일감 있는 룩을 연출해 주는 욕실 도기 라운드 쉐입의 양변기와 세면기가 아치형 거울 등과 어우러져 욕실 공간 디자인에 통일감을 줍니다."
1064588,판넬바스,밀란 5 오블리크화이트,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064588_A1.jpg?v=20240724081423,"밀란5 오블리크화이트  화이트톤 벽면에 수납력 높은 선반 일체형 블랙 상부장을 포인트로 매치한 간결한 모던 스타일 욕실을 원색의 도어, 액세서리, 소품 등 포인트와 매치하여 개성 있게 연출하세요.  테라조 화이트 벽판넬 은은한 입자감의 스톤 패턴이 화이트톤 욕실을 더욱 특별하게 만들어줍니다. 테라조 화이트 벽판넬로 화사하고 심플한 호텔식 욕실을 연출해 보세요.  멀티 기능의 은경 슬라이딩장 선반형 수납, 거울 역할을 동시에 하는 선반형 거울 슬라이딩장으로 효율적인 공간 사용이 가능합니다. 선반 일체형 디자인으로 간편하게 수납물을 배치해 보세요.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
